price,name,state,city,condition,distance,year_of_manufacture,color
6510000,Nissan Sentra  Burgandy,Lagos State,Surulere,Local Used,93991,2014, Burgandy
4200000,Ford Edge  Red,Rivers State,Port-Harcourt,Local Used,204230,2007, Red
5979750,Toyota Corolla S  Blue,Lagos State,Ajah,Local Used,314204,2008, Blue
2940000,Kia Rio  Black,Lagos State,Isolo,Local Used,227564,2008, Black
19760000,Land Rover Range Rover Evoque Pure Plus AWD  Black,Akwa Ibom State,Uyo,Local Used,92936,2013, Black
4725000,Toyota Corolla  White,Lagos State,Ajah,Local Used,379527,2005, White
5200000,Toyota Corolla  Gray,Lagos State,Abule Egba,Local Used,125017,2003, Gray
7350000,Volkswagen Routan  White,Lagos State,Ilupeju,Foreign Used,147037,2009, White
23400000,Lexus ES  Silver,Lagos State,Lekki,Foreign Used,111792,2013, Silver
13650000,Toyota RAV 2013 White,Lagos State,Ikoyi,Local Used,132983,4, White
26000000,Toyota Venza  Blue,Lagos State,Amuwo-Odofin,Foreign Used,278622,2014, Blue
7164000,Toyota Corolla  Black,Lagos State,Abule Egba,Local Used,186936,2009, Black
16875000,Honda Accord Crosstour  Black,Lagos State,Ogudu,Foreign Used,191401,2013, Black
2874375,Honda Pilot  Black,Lagos State,Lekki,Local Used,239315,2005, Black
6454687,Toyota Camry  Silver,Lagos State,Ojodu,Local Used,410890,2007, Silver
6510000,Nissan Sentra  Burgandy,Lagos State,Surulere,Local Used,93991,2014, Burgandy
4200000,Ford Edge  Red,Rivers State,Port-Harcourt,Local Used,204230,2007, Red
5979750,Toyota Corolla S  Blue,Lagos State,Ajah,Local Used,314204,2008, Blue
2940000,Kia Rio  Black,Lagos State,Isolo,Local Used,227564,2008, Black
19760000,Land Rover Range Rover Evoque Pure Plus AWD  Black,Akwa Ibom State,Uyo,Local Used,92936,2013, Black
4725000,Toyota Corolla  White,Lagos State,Ajah,Local Used,379527,2005, White
5200000,Toyota Corolla  Gray,Lagos State,Abule Egba,Local Used,125017,2003, Gray
7350000,Volkswagen Routan  White,Lagos State,Ilupeju,Foreign Used,147037,2009, White
23400000,Lexus ES  Silver,Lagos State,Lekki,Foreign Used,111792,2013, Silver
13650000,Toyota RAV 2013 White,Lagos State,Ikoyi,Local Used,132983,4, White
26000000,Toyota Venza  Blue,Lagos State,Amuwo-Odofin,Foreign Used,278622,2014, Blue
7164000,Toyota Corolla  Black,Lagos State,Abule Egba,Local Used,186936,2009, Black
16875000,Honda Accord Crosstour  Black,Lagos State,Ogudu,Foreign Used,191401,2013, Black
2874375,Honda Pilot  Black,Lagos State,Lekki,Local Used,239315,2005, Black
6454687,Toyota Camry  Silver,Lagos State,Ojodu,Local Used,410890,2007, Silver
6510000,Nissan Sentra  Burgandy,Lagos State,Surulere,Local Used,93991,2014, Burgandy
4200000,Ford Edge  Red,Rivers State,Port-Harcourt,Local Used,204230,2007, Red
5979750,Toyota Corolla S  Blue,Lagos State,Ajah,Local Used,314204,2008, Blue
2940000,Kia Rio  Black,Lagos State,Isolo,Local Used,227564,2008, Black
19760000,Land Rover Range Rover Evoque Pure Plus AWD  Black,Akwa Ibom State,Uyo,Local Used,92936,2013, Black
4725000,Toyota Corolla  White,Lagos State,Ajah,Local Used,379527,2005, White
5200000,Toyota Corolla  Gray,Lagos State,Abule Egba,Local Used,125017,2003, Gray
7350000,Volkswagen Routan  White,Lagos State,Ilupeju,Foreign Used,147037,2009, White
23400000,Lexus ES  Silver,Lagos State,Lekki,Foreign Used,111792,2013, Silver
13650000,Toyota RAV 2013 White,Lagos State,Ikoyi,Local Used,132983,4, White
26000000,Toyota Venza  Blue,Lagos State,Amuwo-Odofin,Foreign Used,278622,2014, Blue
7164000,Toyota Corolla  Black,Lagos State,Abule Egba,Local Used,186936,2009, Black
16875000,Honda Accord Crosstour  Black,Lagos State,Ogudu,Foreign Used,191401,2013, Black
2874375,Honda Pilot  Black,Lagos State,Lekki,Local Used,239315,2005, Black
6454687,Toyota Camry  Silver,Lagos State,Ojodu,Local Used,410890,2007, Silver
6510000,Nissan Sentra  Burgandy,Lagos State,Surulere,Local Used,93991,2014, Burgandy
4200000,Ford Edge  Red,Rivers State,Port-Harcourt,Local Used,204230,2007, Red
5979750,Toyota Corolla S  Blue,Lagos State,Ajah,Local Used,314204,2008, Blue
2940000,Kia Rio  Black,Lagos State,Isolo,Local Used,227564,2008, Black
19760000,Land Rover Range Rover Evoque Pure Plus AWD  Black,Akwa Ibom State,Uyo,Local Used,92936,2013, Black
4725000,Toyota Corolla  White,Lagos State,Ajah,Local Used,379527,2005, White
5200000,Toyota Corolla  Gray,Lagos State,Abule Egba,Local Used,125017,2003, Gray
7350000,Volkswagen Routan  White,Lagos State,Ilupeju,Foreign Used,147037,2009, White
23400000,Lexus ES  Silver,Lagos State,Lekki,Foreign Used,111792,2013, Silver
13650000,Toyota RAV 2013 White,Lagos State,Ikoyi,Local Used,132983,4, White
26000000,Toyota Venza  Blue,Lagos State,Amuwo-Odofin,Foreign Used,278622,2014, Blue
7164000,Toyota Corolla  Black,Lagos State,Abule Egba,Local Used,186936,2009, Black
16875000,Honda Accord Crosstour  Black,Lagos State,Ogudu,Foreign Used,191401,2013, Black
2874375,Honda Pilot  Black,Lagos State,Lekki,Local Used,239315,2005, Black
6454687,Toyota Camry  Silver,Lagos State,Ojodu,Local Used,410890,2007, Silver
6510000,Nissan Sentra  Burgandy,Lagos State,Surulere,Local Used,93991,2014, Burgandy
4200000,Ford Edge  Red,Rivers State,Port-Harcourt,Local Used,204230,2007, Red
5979750,Toyota Corolla S  Blue,Lagos State,Ajah,Local Used,314204,2008, Blue
2940000,Kia Rio  Black,Lagos State,Isolo,Local Used,227564,2008, Black
19760000,Land Rover Range Rover Evoque Pure Plus AWD  Black,Akwa Ibom State,Uyo,Local Used,92936,2013, Black
4725000,Toyota Corolla  White,Lagos State,Ajah,Local Used,379527,2005, White
5200000,Toyota Corolla  Gray,Lagos State,Abule Egba,Local Used,125017,2003, Gray
7350000,Volkswagen Routan  White,Lagos State,Ilupeju,Foreign Used,147037,2009, White
23400000,Lexus ES  Silver,Lagos State,Lekki,Foreign Used,111792,2013, Silver
13650000,Toyota RAV 2013 White,Lagos State,Ikoyi,Local Used,132983,4, White
26000000,Toyota Venza  Blue,Lagos State,Amuwo-Odofin,Foreign Used,278622,2014, Blue
7164000,Toyota Corolla  Black,Lagos State,Abule Egba,Local Used,186936,2009, Black
16875000,Honda Accord Crosstour  Black,Lagos State,Ogudu,Foreign Used,191401,2013, Black
2874375,Honda Pilot  Black,Lagos State,Lekki,Local Used,239315,2005, Black
6454687,Toyota Camry  Silver,Lagos State,Ojodu,Local Used,410890,2007, Silver
6510000,Nissan Sentra  Burgandy,Lagos State,Surulere,Local Used,93991,2014, Burgandy
4200000,Ford Edge  Red,Rivers State,Port-Harcourt,Local Used,204230,2007, Red
5979750,Toyota Corolla S  Blue,Lagos State,Ajah,Local Used,314204,2008, Blue
2940000,Kia Rio  Black,Lagos State,Isolo,Local Used,227564,2008, Black
19760000,Land Rover Range Rover Evoque Pure Plus AWD  Black,Akwa Ibom State,Uyo,Local Used,92936,2013, Black
4725000,Toyota Corolla  White,Lagos State,Ajah,Local Used,379527,2005, White
5200000,Toyota Corolla  Gray,Lagos State,Abule Egba,Local Used,125017,2003, Gray
7350000,Volkswagen Routan  White,Lagos State,Ilupeju,Foreign Used,147037,2009, White
23400000,Lexus ES  Silver,Lagos State,Lekki,Foreign Used,111792,2013, Silver
13650000,Toyota RAV 2013 White,Lagos State,Ikoyi,Local Used,132983,4, White
26000000,Toyota Venza  Blue,Lagos State,Amuwo-Odofin,Foreign Used,278622,2014, Blue
7164000,Toyota Corolla  Black,Lagos State,Abule Egba,Local Used,186936,2009, Black
16875000,Honda Accord Crosstour  Black,Lagos State,Ogudu,Foreign Used,191401,2013, Black
2874375,Honda Pilot  Black,Lagos State,Lekki,Local Used,239315,2005, Black
6454687,Toyota Camry  Silver,Lagos State,Ojodu,Local Used,410890,2007, Silver
6510000,Nissan Sentra  Burgandy,Lagos State,Surulere,Local Used,93991,2014, Burgandy
4200000,Ford Edge  Red,Rivers State,Port-Harcourt,Local Used,204230,2007, Red
5979750,Toyota Corolla S  Blue,Lagos State,Ajah,Local Used,314204,2008, Blue
2940000,Kia Rio  Black,Lagos State,Isolo,Local Used,227564,2008, Black
19760000,Land Rover Range Rover Evoque Pure Plus AWD  Black,Akwa Ibom State,Uyo,Local Used,92936,2013, Black
4725000,Toyota Corolla  White,Lagos State,Ajah,Local Used,379527,2005, White
5200000,Toyota Corolla  Gray,Lagos State,Abule Egba,Local Used,125017,2003, Gray
7350000,Volkswagen Routan  White,Lagos State,Ilupeju,Foreign Used,147037,2009, White
23400000,Lexus ES  Silver,Lagos State,Lekki,Foreign Used,111792,2013, Silver
13650000,Toyota RAV 2013 White,Lagos State,Ikoyi,Local Used,132983,4, White
26000000,Toyota Venza  Blue,Lagos State,Amuwo-Odofin,Foreign Used,278622,2014, Blue
7164000,Toyota Corolla  Black,Lagos State,Abule Egba,Local Used,186936,2009, Black
16875000,Honda Accord Crosstour  Black,Lagos State,Ogudu,Foreign Used,191401,2013, Black
2874375,Honda Pilot  Black,Lagos State,Lekki,Local Used,239315,2005, Black
6454687,Toyota Camry  Silver,Lagos State,Ojodu,Local Used,410890,2007, Silver
6510000,Nissan Sentra  Burgandy,Lagos State,Surulere,Local Used,93991,2014, Burgandy
4200000,Ford Edge  Red,Rivers State,Port-Harcourt,Local Used,204230,2007, Red
5979750,Toyota Corolla S  Blue,Lagos State,Ajah,Local Used,314204,2008, Blue
2940000,Kia Rio  Black,Lagos State,Isolo,Local Used,227564,2008, Black
19760000,Land Rover Range Rover Evoque Pure Plus AWD  Black,Akwa Ibom State,Uyo,Local Used,92936,2013, Black
4725000,Toyota Corolla  White,Lagos State,Ajah,Local Used,379527,2005, White
5200000,Toyota Corolla  Gray,Lagos State,Abule Egba,Local Used,125017,2003, Gray
7350000,Volkswagen Routan  White,Lagos State,Ilupeju,Foreign Used,147037,2009, White
23400000,Lexus ES  Silver,Lagos State,Lekki,Foreign Used,111792,2013, Silver
13650000,Toyota RAV 2013 White,Lagos State,Ikoyi,Local Used,132983,4, White
26000000,Toyota Venza  Blue,Lagos State,Amuwo-Odofin,Foreign Used,278622,2014, Blue
7164000,Toyota Corolla  Black,Lagos State,Abule Egba,Local Used,186936,2009, Black
16875000,Honda Accord Crosstour  Black,Lagos State,Ogudu,Foreign Used,191401,2013, Black
2874375,Honda Pilot  Black,Lagos State,Lekki,Local Used,239315,2005, Black
6454687,Toyota Camry  Silver,Lagos State,Ojodu,Local Used,410890,2007, Silver
6510000,Nissan Sentra  Burgandy,Lagos State,Surulere,Local Used,93991,2014, Burgandy
4200000,Ford Edge  Red,Rivers State,Port-Harcourt,Local Used,204230,2007, Red
5979750,Toyota Corolla S  Blue,Lagos State,Ajah,Local Used,314204,2008, Blue
2940000,Kia Rio  Black,Lagos State,Isolo,Local Used,227564,2008, Black
19760000,Land Rover Range Rover Evoque Pure Plus AWD  Black,Akwa Ibom State,Uyo,Local Used,92936,2013, Black
4725000,Toyota Corolla  White,Lagos State,Ajah,Local Used,379527,2005, White
5200000,Toyota Corolla  Gray,Lagos State,Abule Egba,Local Used,125017,2003, Gray
7350000,Volkswagen Routan  White,Lagos State,Ilupeju,Foreign Used,147037,2009, White
23400000,Lexus ES  Silver,Lagos State,Lekki,Foreign Used,111792,2013, Silver
13650000,Toyota RAV 2013 White,Lagos State,Ikoyi,Local Used,132983,4, White
26000000,Toyota Venza  Blue,Lagos State,Amuwo-Odofin,Foreign Used,278622,2014, Blue
7164000,Toyota Corolla  Black,Lagos State,Abule Egba,Local Used,186936,2009, Black
16875000,Honda Accord Crosstour  Black,Lagos State,Ogudu,Foreign Used,191401,2013, Black
2874375,Honda Pilot  Black,Lagos State,Lekki,Local Used,239315,2005, Black
6454687,Toyota Camry  Silver,Lagos State,Ojodu,Local Used,410890,2007, Silver
6510000,Nissan Sentra  Burgandy,Lagos State,Surulere,Local Used,93991,2014, Burgandy
4200000,Ford Edge  Red,Rivers State,Port-Harcourt,Local Used,204230,2007, Red
5979750,Toyota Corolla S  Blue,Lagos State,Ajah,Local Used,314204,2008, Blue
2940000,Kia Rio  Black,Lagos State,Isolo,Local Used,227564,2008, Black
19760000,Land Rover Range Rover Evoque Pure Plus AWD  Black,Akwa Ibom State,Uyo,Local Used,92936,2013, Black
4725000,Toyota Corolla  White,Lagos State,Ajah,Local Used,379527,2005, White
5200000,Toyota Corolla  Gray,Lagos State,Abule Egba,Local Used,125017,2003, Gray
7350000,Volkswagen Routan  White,Lagos State,Ilupeju,Foreign Used,147037,2009, White
23400000,Lexus ES  Silver,Lagos State,Lekki,Foreign Used,111792,2013, Silver
13650000,Toyota RAV 2013 White,Lagos State,Ikoyi,Local Used,132983,4, White
26000000,Toyota Venza  Blue,Lagos State,Amuwo-Odofin,Foreign Used,278622,2014, Blue
7164000,Toyota Corolla  Black,Lagos State,Abule Egba,Local Used,186936,2009, Black
16875000,Honda Accord Crosstour  Black,Lagos State,Ogudu,Foreign Used,191401,2013, Black
2874375,Honda Pilot  Black,Lagos State,Lekki,Local Used,239315,2005, Black
6454687,Toyota Camry  Silver,Lagos State,Ojodu,Local Used,410890,2007, Silver
6510000,Nissan Sentra  Burgandy,Lagos State,Surulere,Local Used,93991,2014, Burgandy
4200000,Ford Edge  Red,Rivers State,Port-Harcourt,Local Used,204230,2007, Red
5979750,Toyota Corolla S  Blue,Lagos State,Ajah,Local Used,314204,2008, Blue
2940000,Kia Rio  Black,Lagos State,Isolo,Local Used,227564,2008, Black
19760000,Land Rover Range Rover Evoque Pure Plus AWD  Black,Akwa Ibom State,Uyo,Local Used,92936,2013, Black
4725000,Toyota Corolla  White,Lagos State,Ajah,Local Used,379527,2005, White
5200000,Toyota Corolla  Gray,Lagos State,Abule Egba,Local Used,125017,2003, Gray
7350000,Volkswagen Routan  White,Lagos State,Ilupeju,Foreign Used,147037,2009, White
23400000,Lexus ES  Silver,Lagos State,Lekki,Foreign Used,111792,2013, Silver
13650000,Toyota RAV 2013 White,Lagos State,Ikoyi,Local Used,132983,4, White
26000000,Toyota Venza  Blue,Lagos State,Amuwo-Odofin,Foreign Used,278622,2014, Blue
7164000,Toyota Corolla  Black,Lagos State,Abule Egba,Local Used,186936,2009, Black
16875000,Honda Accord Crosstour  Black,Lagos State,Ogudu,Foreign Used,191401,2013, Black
2874375,Honda Pilot  Black,Lagos State,Lekki,Local Used,239315,2005, Black
6454687,Toyota Camry  Silver,Lagos State,Ojodu,Local Used,410890,2007, Silver
6510000,Nissan Sentra  Burgandy,Lagos State,Surulere,Local Used,93991,2014, Burgandy
4200000,Ford Edge  Red,Rivers State,Port-Harcourt,Local Used,204230,2007, Red
5979750,Toyota Corolla S  Blue,Lagos State,Ajah,Local Used,314204,2008, Blue
2940000,Kia Rio  Black,Lagos State,Isolo,Local Used,227564,2008, Black
19760000,Land Rover Range Rover Evoque Pure Plus AWD  Black,Akwa Ibom State,Uyo,Local Used,92936,2013, Black
