price,name,registered_state,registered_city,condition,year_of_manufacture,color,mileage
6510000,Nissan Sentra  Burgandy,Lagos State,Surulere,Local Used,2014, Burgandy,93991
4200000,Ford Edge  Red,Rivers State,Port-Harcourt,Local Used,2007, Red,204230
5979750,Toyota Corolla S  Blue,Lagos State,Ajah,Local Used,2008, Blue,314204
2940000,Kia Rio  Black,Lagos State,Isolo,Local Used,2008, Black,227564
19760000,Land Rover Range Rover Evoque Pure Plus AWD  Black,Akwa Ibom State,Uyo,Local Used,2013, Black,92936
4725000,Toyota Corolla  White,Lagos State,Ajah,Local Used,2005, White,379527
5200000,Toyota Corolla  Gray,Lagos State,Abule Egba,Local Used,2003, Gray,125017
7350000,Volkswagen Routan  White,Lagos State,Ilupeju,Foreign Used,2009, White,147037
23400000,Lexus ES  Silver,Lagos State,Lekki,Foreign Used,2013, Silver,111792
13650000,Toyota RAV 2013 White,Lagos State,Ikoyi,Local Used,4, White,132983
26000000,Toyota Venza  Blue,Lagos State,Amuwo-Odofin,Foreign Used,2014, Blue,278622
7164000,Toyota Corolla  Black,Lagos State,Abule Egba,Local Used,2009, Black,186936
16875000,Honda Accord Crosstour  Black,Lagos State,Ogudu,Foreign Used,2013, Black,191401
2874375,Honda Pilot  Black,Lagos State,Lekki,Local Used,2005, Black,239315
6454687,Toyota Camry  Silver,Lagos State,Ojodu,Local Used,2007, Silver,410890
6510000,Nissan Sentra  Burgandy,Lagos State,Surulere,Local Used,2014, Burgandy,93991
4200000,Ford Edge  Red,Rivers State,Port-Harcourt,Local Used,2007, Red,204230
5979750,Toyota Corolla S  Blue,Lagos State,Ajah,Local Used,2008, Blue,314204
2940000,Kia Rio  Black,Lagos State,Isolo,Local Used,2008, Black,227564
19760000,Land Rover Range Rover Evoque Pure Plus AWD  Black,Akwa Ibom State,Uyo,Local Used,2013, Black,92936
4725000,Toyota Corolla  White,Lagos State,Ajah,Local Used,2005, White,379527
5200000,Toyota Corolla  Gray,Lagos State,Abule Egba,Local Used,2003, Gray,125017
7350000,Volkswagen Routan  White,Lagos State,Ilupeju,Foreign Used,2009, White,147037
23400000,Lexus ES  Silver,Lagos State,Lekki,Foreign Used,2013, Silver,111792
13650000,Toyota RAV 2013 White,Lagos State,Ikoyi,Local Used,4, White,132983
26000000,Toyota Venza  Blue,Lagos State,Amuwo-Odofin,Foreign Used,2014, Blue,278622
7164000,Toyota Corolla  Black,Lagos State,Abule Egba,Local Used,2009, Black,186936
16875000,Honda Accord Crosstour  Black,Lagos State,Ogudu,Foreign Used,2013, Black,191401
2874375,Honda Pilot  Black,Lagos State,Lekki,Local Used,2005, Black,239315
6454687,Toyota Camry  Silver,Lagos State,Ojodu,Local Used,2007, Silver,410890
6510000,Nissan Sentra  Burgandy,Lagos State,Surulere,Local Used,2014, Burgandy,93991
4200000,Ford Edge  Red,Rivers State,Port-Harcourt,Local Used,2007, Red,204230
5979750,Toyota Corolla S  Blue,Lagos State,Ajah,Local Used,2008, Blue,314204
2940000,Kia Rio  Black,Lagos State,Isolo,Local Used,2008, Black,227564
19760000,Land Rover Range Rover Evoque Pure Plus AWD  Black,Akwa Ibom State,Uyo,Local Used,2013, Black,92936
4725000,Toyota Corolla  White,Lagos State,Ajah,Local Used,2005, White,379527
5200000,Toyota Corolla  Gray,Lagos State,Abule Egba,Local Used,2003, Gray,125017
7350000,Volkswagen Routan  White,Lagos State,Ilupeju,Foreign Used,2009, White,147037
