price,name,region,condition,distance
"₦ 6,510,000",Nissan Sentra 2014 Burgandy,"Lagos State, Surulere",Local Used,93991 km
"₦ 4,200,000",Ford Edge 2007 Red,"Rivers State, Port-Harcourt",Local Used,204230 km
"₦ 5,979,750",Toyota Corolla S 2008 Blue,"Lagos State, Ajah",Local Used,314204 km
"₦ 2,940,000",Kia Rio 2008 Black,"Lagos State, Isolo",Local Used,227564 km
"₦ 19,760,000",Land Rover Range Rover Evoque Pure Plus AWD 2013 Black,"Akwa Ibom State, Uyo",Local Used,92936 km
"₦ 4,725,000",Toyota Corolla 2005 White,"Lagos State, Ajah",Local Used,379527 km
"₦ 5,200,000",Toyota Corolla 2003 Gray,"Lagos State, Abule Egba",Local Used,125017 km
"₦ 7,350,000",Volkswagen Routan 2009 White,"Lagos State, Ilupeju",Foreign Used,147037 km
"₦ 23,400,000",Lexus ES 2013 Silver,"Lagos State, Lekki",Foreign Used,111792 km
"₦ 13,650,000",Toyota RAV4 2013 White,"Lagos State, Ikoyi",Local Used,132983 km
"₦ 26,000,000",Toyota Venza 2014 Blue,"Lagos State, Amuwo-Odofin",Foreign Used,278622 km
"₦ 7,164,000",Toyota Corolla 2009 Black,"Lagos State, Abule Egba",Local Used,186936 km
"₦ 16,875,000",Honda Accord Crosstour 2013 Black,"Lagos State, Ogudu",Foreign Used,191401 km
"₦ 2,874,375",Honda Pilot 2005 Black,"Lagos State, Lekki",Local Used,239315 km
"₦ 6,454,687",Toyota Camry 2007 Silver,"Lagos State, Ojodu",Local Used,410890 km
"₦ 6,510,000",Nissan Sentra 2014 Burgandy,"Lagos State, Surulere",Local Used,93991 km
"₦ 4,200,000",Ford Edge 2007 Red,"Rivers State, Port-Harcourt",Local Used,204230 km
"₦ 5,979,750",Toyota Corolla S 2008 Blue,"Lagos State, Ajah",Local Used,314204 km
"₦ 2,940,000",Kia Rio 2008 Black,"Lagos State, Isolo",Local Used,227564 km
"₦ 19,760,000",Land Rover Range Rover Evoque Pure Plus AWD 2013 Black,"Akwa Ibom State, Uyo",Local Used,92936 km
"₦ 4,725,000",Toyota Corolla 2005 White,"Lagos State, Ajah",Local Used,379527 km
"₦ 5,200,000",Toyota Corolla 2003 Gray,"Lagos State, Abule Egba",Local Used,125017 km
"₦ 7,350,000",Volkswagen Routan 2009 White,"Lagos State, Ilupeju",Foreign Used,147037 km
"₦ 23,400,000",Lexus ES 2013 Silver,"Lagos State, Lekki",Foreign Used,111792 km
"₦ 13,650,000",Toyota RAV4 2013 White,"Lagos State, Ikoyi",Local Used,132983 km
"₦ 26,000,000",Toyota Venza 2014 Blue,"Lagos State, Amuwo-Odofin",Foreign Used,278622 km
"₦ 7,164,000",Toyota Corolla 2009 Black,"Lagos State, Abule Egba",Local Used,186936 km
"₦ 16,875,000",Honda Accord Crosstour 2013 Black,"Lagos State, Ogudu",Foreign Used,191401 km
"₦ 2,874,375",Honda Pilot 2005 Black,"Lagos State, Lekki",Local Used,239315 km
"₦ 6,454,687",Toyota Camry 2007 Silver,"Lagos State, Ojodu",Local Used,410890 km
"₦ 6,510,000",Nissan Sentra 2014 Burgandy,"Lagos State, Surulere",Local Used,93991 km
"₦ 4,200,000",Ford Edge 2007 Red,"Rivers State, Port-Harcourt",Local Used,204230 km
"₦ 5,979,750",Toyota Corolla S 2008 Blue,"Lagos State, Ajah",Local Used,314204 km
"₦ 2,940,000",Kia Rio 2008 Black,"Lagos State, Isolo",Local Used,227564 km
"₦ 19,760,000",Land Rover Range Rover Evoque Pure Plus AWD 2013 Black,"Akwa Ibom State, Uyo",Local Used,92936 km
"₦ 4,725,000",Toyota Corolla 2005 White,"Lagos State, Ajah",Local Used,379527 km
"₦ 5,200,000",Toyota Corolla 2003 Gray,"Lagos State, Abule Egba",Local Used,125017 km
"₦ 7,350,000",Volkswagen Routan 2009 White,"Lagos State, Ilupeju",Foreign Used,147037 km
"₦ 23,400,000",Lexus ES 2013 Silver,"Lagos State, Lekki",Foreign Used,111792 km
"₦ 13,650,000",Toyota RAV4 2013 White,"Lagos State, Ikoyi",Local Used,132983 km
"₦ 26,000,000",Toyota Venza 2014 Blue,"Lagos State, Amuwo-Odofin",Foreign Used,278622 km
"₦ 7,164,000",Toyota Corolla 2009 Black,"Lagos State, Abule Egba",Local Used,186936 km
"₦ 16,875,000",Honda Accord Crosstour 2013 Black,"Lagos State, Ogudu",Foreign Used,191401 km
"₦ 2,874,375",Honda Pilot 2005 Black,"Lagos State, Lekki",Local Used,239315 km
"₦ 6,454,687",Toyota Camry 2007 Silver,"Lagos State, Ojodu",Local Used,410890 km
"₦ 6,510,000",Nissan Sentra 2014 Burgandy,"Lagos State, Surulere",Local Used,93991 km
"₦ 4,200,000",Ford Edge 2007 Red,"Rivers State, Port-Harcourt",Local Used,204230 km
"₦ 5,979,750",Toyota Corolla S 2008 Blue,"Lagos State, Ajah",Local Used,314204 km
"₦ 2,940,000",Kia Rio 2008 Black,"Lagos State, Isolo",Local Used,227564 km
"₦ 19,760,000",Land Rover Range Rover Evoque Pure Plus AWD 2013 Black,"Akwa Ibom State, Uyo",Local Used,92936 km
"₦ 4,725,000",Toyota Corolla 2005 White,"Lagos State, Ajah",Local Used,379527 km
"₦ 5,200,000",Toyota Corolla 2003 Gray,"Lagos State, Abule Egba",Local Used,125017 km
"₦ 7,350,000",Volkswagen Routan 2009 White,"Lagos State, Ilupeju",Foreign Used,147037 km
"₦ 23,400,000",Lexus ES 2013 Silver,"Lagos State, Lekki",Foreign Used,111792 km
"₦ 13,650,000",Toyota RAV4 2013 White,"Lagos State, Ikoyi",Local Used,132983 km
"₦ 26,000,000",Toyota Venza 2014 Blue,"Lagos State, Amuwo-Odofin",Foreign Used,278622 km
"₦ 7,164,000",Toyota Corolla 2009 Black,"Lagos State, Abule Egba",Local Used,186936 km
"₦ 16,875,000",Honda Accord Crosstour 2013 Black,"Lagos State, Ogudu",Foreign Used,191401 km
"₦ 2,874,375",Honda Pilot 2005 Black,"Lagos State, Lekki",Local Used,239315 km
"₦ 6,454,687",Toyota Camry 2007 Silver,"Lagos State, Ojodu",Local Used,410890 km
"₦ 6,510,000",Nissan Sentra 2014 Burgandy,"Lagos State, Surulere",Local Used,93991 km
"₦ 4,200,000",Ford Edge 2007 Red,"Rivers State, Port-Harcourt",Local Used,204230 km
"₦ 5,979,750",Toyota Corolla S 2008 Blue,"Lagos State, Ajah",Local Used,314204 km
"₦ 2,940,000",Kia Rio 2008 Black,"Lagos State, Isolo",Local Used,227564 km
"₦ 19,760,000",Land Rover Range Rover Evoque Pure Plus AWD 2013 Black,"Akwa Ibom State, Uyo",Local Used,92936 km
"₦ 4,725,000",Toyota Corolla 2005 White,"Lagos State, Ajah",Local Used,379527 km
"₦ 5,200,000",Toyota Corolla 2003 Gray,"Lagos State, Abule Egba",Local Used,125017 km
"₦ 7,350,000",Volkswagen Routan 2009 White,"Lagos State, Ilupeju",Foreign Used,147037 km
"₦ 23,400,000",Lexus ES 2013 Silver,"Lagos State, Lekki",Foreign Used,111792 km
"₦ 13,650,000",Toyota RAV4 2013 White,"Lagos State, Ikoyi",Local Used,132983 km
"₦ 26,000,000",Toyota Venza 2014 Blue,"Lagos State, Amuwo-Odofin",Foreign Used,278622 km
"₦ 7,164,000",Toyota Corolla 2009 Black,"Lagos State, Abule Egba",Local Used,186936 km
"₦ 16,875,000",Honda Accord Crosstour 2013 Black,"Lagos State, Ogudu",Foreign Used,191401 km
"₦ 2,874,375",Honda Pilot 2005 Black,"Lagos State, Lekki",Local Used,239315 km
"₦ 6,454,687",Toyota Camry 2007 Silver,"Lagos State, Ojodu",Local Used,410890 km
"₦ 6,510,000",Nissan Sentra 2014 Burgandy,"Lagos State, Surulere",Local Used,93991 km
"₦ 4,200,000",Ford Edge 2007 Red,"Rivers State, Port-Harcourt",Local Used,204230 km
"₦ 5,979,750",Toyota Corolla S 2008 Blue,"Lagos State, Ajah",Local Used,314204 km
"₦ 2,940,000",Kia Rio 2008 Black,"Lagos State, Isolo",Local Used,227564 km
"₦ 19,760,000",Land Rover Range Rover Evoque Pure Plus AWD 2013 Black,"Akwa Ibom State, Uyo",Local Used,92936 km
"₦ 4,725,000",Toyota Corolla 2005 White,"Lagos State, Ajah",Local Used,379527 km
"₦ 5,200,000",Toyota Corolla 2003 Gray,"Lagos State, Abule Egba",Local Used,125017 km
"₦ 7,350,000",Volkswagen Routan 2009 White,"Lagos State, Ilupeju",Foreign Used,147037 km
"₦ 23,400,000",Lexus ES 2013 Silver,"Lagos State, Lekki",Foreign Used,111792 km
"₦ 13,650,000",Toyota RAV4 2013 White,"Lagos State, Ikoyi",Local Used,132983 km
"₦ 26,000,000",Toyota Venza 2014 Blue,"Lagos State, Amuwo-Odofin",Foreign Used,278622 km
"₦ 7,164,000",Toyota Corolla 2009 Black,"Lagos State, Abule Egba",Local Used,186936 km
"₦ 16,875,000",Honda Accord Crosstour 2013 Black,"Lagos State, Ogudu",Foreign Used,191401 km
"₦ 2,874,375",Honda Pilot 2005 Black,"Lagos State, Lekki",Local Used,239315 km
"₦ 6,454,687",Toyota Camry 2007 Silver,"Lagos State, Ojodu",Local Used,410890 km
"₦ 6,510,000",Nissan Sentra 2014 Burgandy,"Lagos State, Surulere",Local Used,93991 km
"₦ 4,200,000",Ford Edge 2007 Red,"Rivers State, Port-Harcourt",Local Used,204230 km
"₦ 5,979,750",Toyota Corolla S 2008 Blue,"Lagos State, Ajah",Local Used,314204 km
"₦ 2,940,000",Kia Rio 2008 Black,"Lagos State, Isolo",Local Used,227564 km
"₦ 19,760,000",Land Rover Range Rover Evoque Pure Plus AWD 2013 Black,"Akwa Ibom State, Uyo",Local Used,92936 km
"₦ 4,725,000",Toyota Corolla 2005 White,"Lagos State, Ajah",Local Used,379527 km
"₦ 5,200,000",Toyota Corolla 2003 Gray,"Lagos State, Abule Egba",Local Used,125017 km
"₦ 7,350,000",Volkswagen Routan 2009 White,"Lagos State, Ilupeju",Foreign Used,147037 km
"₦ 23,400,000",Lexus ES 2013 Silver,"Lagos State, Lekki",Foreign Used,111792 km
"₦ 13,650,000",Toyota RAV4 2013 White,"Lagos State, Ikoyi",Local Used,132983 km
"₦ 26,000,000",Toyota Venza 2014 Blue,"Lagos State, Amuwo-Odofin",Foreign Used,278622 km
"₦ 7,164,000",Toyota Corolla 2009 Black,"Lagos State, Abule Egba",Local Used,186936 km
"₦ 16,875,000",Honda Accord Crosstour 2013 Black,"Lagos State, Ogudu",Foreign Used,191401 km
"₦ 2,874,375",Honda Pilot 2005 Black,"Lagos State, Lekki",Local Used,239315 km
"₦ 6,454,687",Toyota Camry 2007 Silver,"Lagos State, Ojodu",Local Used,410890 km
"₦ 6,510,000",Nissan Sentra 2014 Burgandy,"Lagos State, Surulere",Local Used,93991 km
"₦ 4,200,000",Ford Edge 2007 Red,"Rivers State, Port-Harcourt",Local Used,204230 km
"₦ 5,979,750",Toyota Corolla S 2008 Blue,"Lagos State, Ajah",Local Used,314204 km
"₦ 2,940,000",Kia Rio 2008 Black,"Lagos State, Isolo",Local Used,227564 km
"₦ 19,760,000",Land Rover Range Rover Evoque Pure Plus AWD 2013 Black,"Akwa Ibom State, Uyo",Local Used,92936 km
"₦ 4,725,000",Toyota Corolla 2005 White,"Lagos State, Ajah",Local Used,379527 km
"₦ 5,200,000",Toyota Corolla 2003 Gray,"Lagos State, Abule Egba",Local Used,125017 km
"₦ 7,350,000",Volkswagen Routan 2009 White,"Lagos State, Ilupeju",Foreign Used,147037 km
"₦ 23,400,000",Lexus ES 2013 Silver,"Lagos State, Lekki",Foreign Used,111792 km
"₦ 13,650,000",Toyota RAV4 2013 White,"Lagos State, Ikoyi",Local Used,132983 km
"₦ 26,000,000",Toyota Venza 2014 Blue,"Lagos State, Amuwo-Odofin",Foreign Used,278622 km
"₦ 7,164,000",Toyota Corolla 2009 Black,"Lagos State, Abule Egba",Local Used,186936 km
"₦ 16,875,000",Honda Accord Crosstour 2013 Black,"Lagos State, Ogudu",Foreign Used,191401 km
"₦ 2,874,375",Honda Pilot 2005 Black,"Lagos State, Lekki",Local Used,239315 km
"₦ 6,454,687",Toyota Camry 2007 Silver,"Lagos State, Ojodu",Local Used,410890 km
"₦ 6,510,000",Nissan Sentra 2014 Burgandy,"Lagos State, Surulere",Local Used,93991 km
"₦ 4,200,000",Ford Edge 2007 Red,"Rivers State, Port-Harcourt",Local Used,204230 km
"₦ 5,979,750",Toyota Corolla S 2008 Blue,"Lagos State, Ajah",Local Used,314204 km
"₦ 2,940,000",Kia Rio 2008 Black,"Lagos State, Isolo",Local Used,227564 km
"₦ 19,760,000",Land Rover Range Rover Evoque Pure Plus AWD 2013 Black,"Akwa Ibom State, Uyo",Local Used,92936 km
"₦ 4,725,000",Toyota Corolla 2005 White,"Lagos State, Ajah",Local Used,379527 km
"₦ 5,200,000",Toyota Corolla 2003 Gray,"Lagos State, Abule Egba",Local Used,125017 km
"₦ 7,350,000",Volkswagen Routan 2009 White,"Lagos State, Ilupeju",Foreign Used,147037 km
